# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 9K of event 'cpu-clock:u'
# Event count (approx.): 9865865856
#
# Overhead  Command  Shared Object     Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
# ........  .......  ................  ....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
     0.14%  main     main              [.] core::slice::sort::unstable::quicksort::quicksort::<sf_nano_core::vm::jit::machine::lower_util::UseCount, <[sf_nano_core::vm::jit::machine::lower_util::UseCount]>::sort_unstable_by_key<sf_nano_core::vm::jit::middle::ssa_ir::ir::SsaValue, <sf_nano_core::vm::jit::machine::lower_util::RemainingUses>::from_unsorted::{closure#0}>::{closure#0}>
     0.13%  main     libc.so.6         [.] 0x00000000000a9cbd
     0.13%  main     libc.so.6         [.] 0x00000000000aba5a
     0.13%  main     main              [.] <sf_nano_core::vm::jit::machine::lower_context::BlockLowerContext>::materialize_cache_aliases
     0.13%  main     main              [.] sf_nano_core::vm::jit::middle::cleanup::all_incoming_edge_locations
     0.12%  main     libc.so.6         [.] 0x00000000000ab2ae
     0.12%  main     main              [.] <sf_nano_core::vm::jit::arch::x86_64::backend::X86_64Backend>::lower_load
     0.12%  main     main              [.] <sf_nano_core::vm::jit::machine::lower_context::BlockLowerContext>::lower_memory_store_scalar
     0.12%  main     main              [.] sf_nano_core::vm::jit::build::finish_native_compile_streaming
     0.12%  main     main              [.] sf_nano_core::vm::jit::machine::lower_module::push_lowered_block
     0.12%  main     main              [.] sf_nano_core::vm::jit::middle::rewrite::edge::build_repair_ops
     0.12%  main     main              [.] sf_nano_core::vm::jit::middle::rewrite::function::lower_local_tee
     0.11%  main     libc.so.6         [.] 0x00000000000a9d75
     0.11%  main     libc.so.6         [.] 0x00000000000ab858
     0.11%  main     libc.so.6         [.] 0x00000000000abdfe
     0.11%  main     main              [.] <alloc::raw_vec::RawVecInner<_>>::reserve::do_reserve_and_handle::<alloc::alloc::Global>
     0.11%  main     main              [.] <sf_nano_core::vm::jit::wasm::decode::DecodeContext>::push_typed_value_with_exn_tag
     0.11%  main     main              [.] <sf_nano_core::vm::jit::wasm::sir::primitive_op::PrimitiveOpKind as core::hash::Hash>::hash::<sf_nano_core::vm::jit::middle::rewrite::function::PrimitiveHasher>
     0.11%  main     main              [.] core::ptr::drop_glue::<sf_nano_core::op_decoder::DecodedOp>
     0.11%  main     main              [.] sf_nano_core::vm::jit::arch::x86_64::enc::mov_rr_32
     0.11%  main     main              [.] sf_nano_core::vm::jit::machine::peephole::reuse_loaded_values::reuse_loaded_values
     0.10%  main     libc.so.6         [.] 0x00000000000a9d41
     0.10%  main     libc.so.6         [.] 0x00000000000ab2bb
     0.10%  main     libc.so.6         [.] 0x00000000000ab451
     0.10%  main     libc.so.6         [.] 0x00000000000ab887
     0.10%  main     libc.so.6         [.] 0x00000000000abce3
     0.10%  main     libc.so.6         [.] 0x0000000000188c00
     0.10%  main     libc.so.6         [.] 0x0000000000188ea4
     0.10%  main     main              [.] <sf_nano_core::vm::jit::machine::lower_context::BlockLowerContext>::lower_memory_load_scalar
     0.10%  main     main              [.] <sf_nano_core::vm::jit::wasm::decode::DecodeContext>::enter_block
     0.10%  main     main              [.] <sf_nano_core::vm::jit::wasm::decode::DecodeContext>::handle_end
     0.10%  main     main              [.] sf_nano_core::op_decoder::decode_mem_arg
     0.10%  main     main              [.] sf_nano_core::vm::jit::middle::cfg::build_semantic_to_block_map
     0.10%  main     main              [.] sf_nano_core::vm::jit::middle::rewrite::function::lower_local_set


#
# (Cannot load tips.txt file, please install perf!)
#
